
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","375.00","2.60","1.20","0.00","0.00","0.00","238.30","0.00","0.00","1.70","438.75","49.99","27.70","Nov.19 12:25,2018","0.70","2993.00"
"'110B987CD123056","375.00","2.60","1.40","0.00","0.00","0.00","237.90","0.00","0.00","2.00","511.875","49.98","27.90","Nov.19 12:30,2018","0.80","2994.00"
"'110B987CD123056","375.20","2.70","1.80","0.00","0.00","0.00","238.90","0.00","0.00","2.60","658.476","49.97","28.30","Nov.19 12:35,2018","0.80","2994.00"
"'110B987CD123056","378.90","2.60","1.30","0.00","0.00","0.00","242.20","0.00","0.00","1.80","480.25575","50.01","28.50","Nov.19 12:41,2018","0.90","2994.00"
"'110B987CD123056","374.90","2.60","1.20","0.00","0.00","0.00","242.90","0.00","0.00","1.60","438.6329999999999","49.99","28.30","Nov.19 12:46,2018","0.90","2994.00"
"'110B987CD123056","379.00","2.60","1.40","0.00","0.00","0.00","244.60","0.00","0.00","1.90","517.335","50.01","28.30","Nov.19 12:51,2018","0.90","2994.00"
"'110B987CD123056","379.20","2.60","1.20","0.00","0.00","0.00","243.20","0.00","0.00","1.70","443.66399999999993","49.99","28.40","Nov.19 12:56,2018","1.00","2994.00"
"'110B987CD123056","379.10","2.60","1.30","0.00","0.00","0.00","240.90","0.00","0.00","1.90","480.50925","49.97","28.60","Nov.19 13:01,2018","1.00","2994.00"
"'110B987CD123056","367.10","2.50","0.60","0.00","0.00","0.00","238.90","0.00","0.00","1.00","214.7535","49.99","28.30","Nov.19 13:06,2018","1.00","2994.00"
"'110B987CD123056","359.20","2.40","0.30","0.00","0.00","0.00","238.60","0.00","0.00","0.80","105.06599999999999","50.01","27.90","Nov.19 13:11,2018","1.00","2994.00"
"'110B987CD123056","351.00","2.40","0.30","0.00","0.00","0.00","240.60","0.00","0.00","0.80","102.66749999999999","50.00","27.50","Nov.19 13:16,2018","1.00","2994.00"
"'110B987CD123056","353.00","2.30","0.10","0.00","0.00","0.00","241.20","0.00","0.00","0.60","34.417500000000004","50.01","27.20","Nov.19 13:21,2018","1.10","2994.00"
"'110B987CD123056","227.10","2.40","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.70","22.14225","50.00","26.80","Nov.19 13:26,2018","1.10","2994.00"
